ID danh hiệu,Tên danh hiệu hiển thị,Tên tệp tin ảnh tương ứng,Đường dẫn thư mục,Lệnh chat mở khóa
60,VIP 1,ImgEffect_60.png,data/danhhieu/ImgEffect_60.png,danhhieu 60
61,VIP 2,ImgEffect_62.png,data/danhhieu/ImgEffect_62.png,danhhieu 61
62,VIP 3,ImgEffect_62.png,data/danhhieu/ImgEffect_62.png,danhhieu 62
63,VIP 4,ImgEffect_63.png,data/danhhieu/ImgEffect_63.png,danhhieu 63
64,Bất Bại,ImgEffect_64.png,data/danhhieu/ImgEffect_64.png,danhhieu 64
65,Tuổi Thơ,ImgEffect_65.png,data/danhhieu/ImgEffect_65.png,danhhieu 65
67,Đại Thần,ImgEffect_67.png,data/danhhieu/ImgEffect_67.png,danhhieu 67
68,Thiên Tử,ImgEffect_68.png,data/danhhieu/ImgEffect_68.png,danhhieu 68
73,Trùm Cuối,ImgEffect_73.png,data/danhhieu/ImgEffect_73.png,danhhieu 73
74,Vòng Chân 1,ImgEffect_74.png,data/danhhieu/ImgEffect_74.png,danhhieu 74
75,Vòng Chân 2,ImgEffect_75.png,data/danhhieu/ImgEffect_75.png,danhhieu 75
76,Vòng Chân 3,ImgEffect_76.png,data/danhhieu/ImgEffect_76.png,danhhieu 76
77,Vòng Chân 4,ImgEffect_77.png,data/danhhieu/ImgEffect_77.png,danhhieu 77
78,Vòng Chân 5,ImgEffect_78.png,data/danhhieu/ImgEffect_78.png,danhhieu 78
79,Vòng Chân 6,ImgEffect_79.png,data/danhhieu/ImgEffect_79.png,danhhieu 79
81,Vòng Chân 7,ImgEffect_81.png,data/danhhieu/ImgEffect_81.png,danhhieu 81
82,Vòng Chân 8,ImgEffect_82.png,data/danhhieu/ImgEffect_82.png,danhhieu 82
85,Fan Cứng,ImgEffect_85.png,data/danhhieu/ImgEffect_85.png,danhhieu 85
89,Tết Nguyên Đán,ImgEffect_89.png,data/danhhieu/ImgEffect_89.png,danhhieu 89
