id,icon,name,info,mwear,op,price
2,2,Hỏa quyền,"
Trang phục ACE.
+10% Sát thương
+10% xuyên giáp
+10% Máu
 Hạn sử dụng vĩnh viễn
 =>Đối với sv chỉ số trên x5","[-1,299,-1,300,-1,301,-1,-1]","[[1,500],[13,500],[17,500]]",2000
3,3,Áo Len 1,"Giữ ấm cơ thể chống lại sự khắc nghiệt của Thị Trấn Big Horn.
+10% Giảm Hồi Chiêu
+5% Máu Tối Đa
+5% Giáp.
 Hạn sử dụng vĩnh viễn
 =>Đối với sv chỉ số trên x5","[-1,362,-1,363,-1,-1,-1,-1]","[[25,500],[17,250],[4,250]]",500
4,4,Áo Len 2,"Giữ ấm cơ thể chống lại sự khắc nghiệt của Thị Trấn Big Horn.
+10% Giảm Hồi Chiêu
+5% Máu Tối Đa
+5% Giáp.
 Hạn sử dụng vĩnh viễn
 =>Đối với sv chỉ số trên x5","[-1,365,-1,366,-1,-1,-1,-1]","[[25,500],[17,250],[4,250]]",500
5,5,Áo Len 3,"Giữ ấm cơ thể chống lại sự khắc nghiệt của Thị Trấn Big Horn.
+10% Giảm Hồi Chiêu
+5% Máu Tối Đa
+5% Giáp.
 Hạn sử dụng vĩnh viễn
 =>Đối với sv chỉ số trên x5","[-1,367,-1,368,-1,-1,-1,-1]","[[25,500],[17,250],[4,250]]",500
6,6,Áo Len 4,"Giữ ấm cơ thể chống lại sự khắc nghiệt của Thị Trấn Big Horn.
+10% Giảm Hồi Chiêu
+5% Máu Tối Đa
+5% Giáp.
 Hạn sử dụng vĩnh viễn
 =>Đối với sv chỉ số trên x5","[-1,369,-1,370,-1,-1,-1,-1]","[[25,500],[17,250],[4,250]]",500
7,7,Áo Len 5,"Giữ ấm cơ thể chống lại sự khắc nghiệt của Thị Trấn Big Horn.
+10% Giảm Hồi Chiêu
+5% Máu Tối Đa
+5% Giáp.
 Hạn sử dụng vĩnh viễn
 =>Đối với sv chỉ số trên x5","[-1,372,-1,373,-1,-1,-1,-1]","[[25,500],[17,250],[4,250]]",500
9,8,Áo Choàng 1,"Giúp cơ thể chống lại cái nắng khắc nghiệt của Alabastra đồng thời ngụy trang tránh sự truy đuổi của Hải quân.
+5% Giáp
+5% Kháng Vật Lý
+5% Kháng Phép
+10% Máu.
 Hạn sử dụng vĩnh viễn
 =>Đối với sv chỉ số trên x5","[-1,375,-1,376,-1,-1,-1,-1]","[[17,500],[4,250],[26,250],[27,250]]",500
10,9,Áo Choàng 2,"Giúp cơ thể chống lại cái nắng khắc nghiệt của Alabastra đồng thời ngụy trang tránh sự truy đuổi của Hải quân.
+5% Giáp
+5% Kháng Vật Lý
+5% Kháng Phép
+10% Máu.
 Hạn sử dụng vĩnh viễn
 =>Đối với sv chỉ số trên x5","[-1,377,-1,378,-1,379,-1,-1]","[[17,500],[4,250],[26,250],[27,250]]",500
11,10,Áo Choàng 3,"Giúp cơ thể chống lại cái nắng khắc nghiệt của Alabastra đồng thời ngụy trang tránh sự truy đuổi của Hải quân.
+5% Giáp
+5% Kháng Vật Lý
+5% Kháng Phép
+10% Máu.
 Hạn sử dụng vĩnh viễn
 =>Đối với sv chỉ số trên x5","[-1,-1,-1,380,-1,381,-1,-1]","[[17,500],[4,250],[26,250],[27,250]]",500
12,11,Áo Choàng 4,"Giúp cơ thể chống lại cái nắng khắc nghiệt của Alabastra đồng thời ngụy trang tránh sự truy đuổi của Hải quân.
+5% Giáp
+5% Kháng Vật Lý
+5% Kháng Phép
+10% Máu.
 Hạn sử dụng vĩnh viễn
 =>Đối với sv chỉ số trên x5","[-1,-1,-1,383,-1,384,-1,-1]","[[4,250],[26,250],[27,250],[17,500]]",500
