id,name,icon,indexInfoPotion,price,priceruby,istrade,hpmpother,timedelay,value,timeactive,nameuse
0,beri,0,0,0,0,1,99,0,0,0,
1,ruby,1,0,0,0,1,98,0,0,0,
2,Thịt heo,2,1,30,0,1,1,5000,120,2000,Sử dụng
3,Gà nướng,3,2,50,0,1,1,5000,240,2000,Sử dụng
4,Sữa,4,3,20,0,1,2,5000,4,2000,Sử dụng
5,Cola,5,4,40,0,1,2,5000,8,2000,Sử dụng
6,Bánh mì,6,5,0,2,1,97,0,0,0,
7,Rương châu báu,7,6,1000,0,1,3,0,0,0,Mở rương
8,Rương châu báu lv10,7,6,1200,0,1,3,0,0,0,Mở rương
9,Rương châu báu lv20,7,6,1400,0,1,3,0,0,0,Mở rương
10,Rương châu báu lv30,7,6,1600,0,1,3,0,0,0,Mở rương
11,Rương châu báu lv40,7,6,1800,0,1,3,0,0,0,Mở rương
12,Rương châu báu lv50,7,6,2000,0,1,3,0,0,0,Mở rương
13,Rương châu báu lv60,7,6,2200,0,1,3,0,0,0,Mở rương
14,Rương châu báu lv70,7,6,2400,0,1,3,0,0,0,Mở rương
15,Rương châu báu lv80,7,6,2600,0,1,3,0,0,0,Mở rương
16,Rương châu báu lv90,7,6,2800,0,1,3,0,0,0,Mở rương
17,Rương châu báu lv100,7,6,3000,0,1,3,0,0,0,Mở rương
18,Rương huyền bí,8,7,0,4,1,4,0,0,0,Mở rương
19,Rương huyền bí lv10,8,7,0,4,1,4,0,0,0,Mở rương
20,Rương huyền bí lv20,8,7,0,4,1,4,0,0,0,Mở rương
21,Rương huyền bí lv30,8,7,0,4,1,4,0,0,0,Mở rương
22,Rương huyền bí lv40,8,7,0,4,1,4,0,0,0,Mở rương
23,Rương huyền bí lv50,8,7,0,4,1,4,0,0,0,Mở rương
24,Rương huyền bí lv60,8,7,0,4,1,4,0,0,0,Mở rương
25,Rương huyền bí lv70,8,7,0,4,1,4,0,0,0,Mở rương
26,Rương huyền bí lv80,8,7,0,4,1,4,0,0,0,Mở rương
27,Rương huyền bí lv90,8,7,0,4,1,4,0,0,0,Mở rương
28,Rương huyền bí lv100,8,7,0,4,1,4,0,0,0,Mở rương
29,Rương ác quỷ,9,8,0,50,1,5,0,0,0,Mở rương
30,XP,10,0,0,0,1,0,0,0,0,
31,Bùa xóa tội,11,9,0,5,1,6,0,0,0,Sử dụng
32,Trái Lửa,19,10,0,0,1,7,0,0,0,Ăn
33,Trái Cao Su,20,10,0,0,1,7,0,0,0,Ăn
34,Trái Tuần Lộc,21,10,0,0,1,7,0,0,0,Ăn
35,Vé tham gia Đấu Trường,13,11,0,1,1,96,0,0,0,Gọi về
36,Trái cây,14,12,10000,0,1,8,0,0,0,Gọi về
37,Vũ khí,15,13,10000,0,1,8,0,0,0,Gọi về
38,Đồ cổ,16,14,10000,0,1,8,0,0,0,Gọi về
39,Đá quý,17,15,10000,0,1,8,0,0,0,Gọi về
40,Chìa khóa Phó Bản,18,16,0,10,1,9,0,0,0,Sử dụng
41,Vé vào khu luyện tập (3 ngày),13,17,0,0,1,10,0,0,0,Sử dụng
42,Vé vào khu luyện tập (7 ngày),22,18,0,0,1,10,0,0,0,Sử dụng
43,Vé PvP,23,19,0,5,1,11,0,0,0,
44,Cẩm thạch cấp 1,24,20,0,2,1,12,0,1,0,
45,Cẩm thạch cấp 2,25,21,0,0,1,12,0,1,0,
46,Cẩm thạch cấp 3,26,22,0,0,1,12,0,1,0,
47,Cẩm thạch cấp 4,27,23,0,0,1,12,0,1,0,
48,Cẩm thạch cấp 5,28,24,0,0,1,12,0,1,0,
49,Cẩm thạch cấp 6,29,25,0,0,1,12,0,1,0,
50,Đá Topaz cấp 1,30,26,0,2,1,12,0,2,0,
51,Đá Topaz cấp 2,31,27,0,0,1,12,0,2,0,
52,Đá Topaz cấp 3,32,28,0,0,1,12,0,2,0,
53,Đá Topaz cấp 4,33,29,0,0,1,12,0,2,0,
54,Đá Topaz cấp 5,34,30,0,0,1,12,0,2,0,
55,Đá Topaz cấp 6,35,31,0,0,1,12,0,2,0,
56,Tinh thể ruby cấp 1,36,32,0,2,1,12,0,3,0,
57,Tinh thể ruby cấp 2,37,33,0,0,1,12,0,3,0,
58,Tinh thể ruby cấp 3,38,34,0,0,1,12,0,3,0,
59,Tinh thể ruby cấp 4,39,35,0,0,1,12,0,3,0,
60,Tinh thể ruby cấp 5,40,36,0,0,1,12,0,3,0,
61,Tinh thể ruby cấp 6,41,37,0,0,1,12,0,3,0,
62,Ngọc lục bảo cấp 1,42,38,0,2,1,12,0,3,0,
63,Ngọc lục bảo cấp 2,43,39,0,0,1,12,0,3,0,
64,Ngọc lục bảo cấp 3,44,40,0,0,1,12,0,3,0,
65,Ngọc lục bảo cấp 4,45,41,0,0,1,12,0,3,0,
66,Ngọc lục bảo cấp 5,46,42,0,0,1,12,0,3,0,
67,Ngọc lục bảo cấp 6,47,43,0,0,1,12,0,3,0,
68,Đá Saphia cấp 1,48,44,0,2,1,12,0,1,0,
69,Đá Saphia cấp 2,49,45,0,0,1,12,0,1,0,
