id,info
0,…
1,Hồi phục 600 HP trong 10s.
2,Hồi phục 1200 HP trong 10s.
3,Hồi phục 20 MP trong 10s.
4,Hồi phục 40 MP trong 10s.
5,Dùng để thực hiện nhiệm vụ lặp ở mọi khu vực.
6,Hãy mở rương để tìm kho báu bất ngờ bên trong.
7,Đây là một trong những chiếc rương bí ẩn nhất.
8,Được mệnh danh là kho báu quý hiếm nhất trên thế giới.
9,Khi sử dụng sẽ được xóa 200 điểm PK.
10,Khi ăn trái ác quỹ này sẽ có kĩ năng đặc biệt.
11,Vé này dùng để ghi danh vào Đấu Trường.
12,Nhận được 30.000 Beri. Tăng 50% cho các làng tiếp theo và tối đa 100%.
13,Nhận được 100.000 Beri. Tăng 50% cho các làng tiếp theo và tối đa 100%.
14,Nhận được 200.000 Beri. Tăng 50% cho các làng tiếp theo và tối đa 100%.
15,Nhận được 400.000 Beri. Tăng 50% cho các làng tiếp theo và tối đa 100%.
16,"Dùng để đăng ký vào khu vực săn Boss, Phó bản."
17,Dùng để vào Khu vực luyện tập thời hạn 3 ngày.
18,Dùng để vào Khu vực luyện tập thời hạn 7 ngày.
19,Vé này dùng để tham gia các trận đấu PvP.
20,"Tăng phòng thủ 2%
Dùng để khảm vào Trang phục."
21,"Tăng phòng thủ 3%
Dùng để khảm vào Trang phục."
22,"Tăng phòng thủ 4%
Dùng để khảm vào Trang phục."
23,"Tăng phòng thủ 6%
Dùng để khảm vào Trang phục."
24,"Tăng phòng thủ 9%
Dùng để khảm vào Trang phục."
25,"Tăng phòng thủ 14%
Dùng để khảm vào Trang phục."
26,"Tăng tấn công 5%
Dùng để khảm vào Vũ khí"
27,"Tăng tấn công 7%
Dùng để khảm vào Vũ khí"
28,"Tăng tấn công 9%
Dùng để khảm vào Vũ khí"
29,"Tăng tấn công 12%
Dùng để khảm vào Vũ khí"
30,"Tăng tấn công 16%
Dùng để khảm vào Vũ khí"
31,"Tăng tấn công 22%
Dùng để khảm vào Vũ khí"
32,"Tăng Chí mạng 1%
Dùng để khảm vào Đồ trang sức."
33,"Tăng Chí mạng 2%
Dùng để khảm vào Đồ trang sức."
34,"Tăng Chí mạng 3%
Dùng để khảm vào Đồ trang sức."
35,"Tăng Chí mạng 4%
Dùng để khảm vào Đồ trang sức."
36,"Tăng Chí mạng 5%
Dùng để khảm vào Đồ trang sức."
37,"Tăng Chí mạng 6%
Dùng để khảm vào Đồ trang sức."
38,"Xuyên giáp 1%
Dùng để khảm vào Đồ trang sức."
39,"Xuyên giáp 2%
Dùng để khảm vào Đồ trang sức."
40,"Xuyên giáp 3%
Dùng để khảm vào Đồ trang sức."
41,"Xuyên giáp 4%
Dùng để khảm vào Đồ trang sức."
42,"Xuyên giáp 6%
Dùng để khảm vào Đồ trang sức."
43,"Xuyên giáp 9%
Dùng để khảm vào Đồ trang sức."
44,"Kháng vật lý 1% + kháng phép 1%
Dùng để khảm vào Trang phục."
45,"Kháng vật lý 2% + kháng phép 2%
Dùng để khảm vào Trang phục."
46,"Kháng vật lý 3% + kháng phép 3%
Dùng để khảm vào Trang phục."
47,"Kháng vật lý 4% + kháng phép 4%
Dùng để khảm vào Trang phục."
48,"Kháng vật lý 6% + kháng phép 6%
Dùng để khảm vào Trang phục."
49,"Kháng vật lý 9% + kháng phép 9%
Dùng để khảm vào Trang phục."
50,"Phản đòn 1%
Dùng để khảm vào Đồ trang sức."
51,"Phản đòn 2%
Dùng để khảm vào Đồ trang sức."
52,"Phản đòn 3%
Dùng để khảm vào Đồ trang sức."
53,"Phản đòn 4%
Dùng để khảm vào Đồ trang sức."
54,"Phản đòn 6%
Dùng để khảm vào Đồ trang sức."
55,"Phản đòn 9%
Dùng để khảm vào Đồ trang sức."
56,Nhân đôi kinh nghiệm khi trả nhiệm vụ lặp và săn quái trong 2 giờ.
57,Hồi sức nhanh chóng 25% HP cho nhân vật.
58,Hồi sức nhanh chóng 50% HP cho nhân vật.
59,Hồi sức nhanh chóng toàn bộ HP cho nhân vật.
60,"Thu thập để đổi quà, vật phẩm sự kiện 2016."
61,Hồi phục 2000 HP trong 10s.
62,Vé Tự động hồi sinh và được bảo vệ 30 phút khi bị giết.
63,Thổi bay tất cả Thành Viên của Băng đối thủ về thế giới bên kia.
64,Hồi máu tất cả Thành Viên trong Băng khi tham gia Phó Bản Khổng Lồ.
65,Đặt bẫy giảm 25% máu của chiến binh đối thủ.
66,Cổ vũ cho chiến binh tấn công liên tiếp 3 lần.
67,Hồi 25% máu cho chiến binh Khổng Lồ.
68,Tăng 200 năng lượng cho khổng lồ.
69,Hồi 500 máu cho khổng lồ.
70,Cộng 50.000 XP đấu trường tự do (chỉ sử dụng được khi XP đấu trường bằng 0).
71,Giúp nhân 2 Xp nhận được từ các phần thưởng phó bảng (dùng tự động và tối đa 100.000xp).
72,Giảm giá 20% khi mua đồ thời trang (dùng tự động).
73,Giảm giá 50% khi mua đồ thời trang (dùng tự động).
74,Kho báu mà hải tặc nào cũng muốn sở hữu (100% nhận được vật phẩm cam).
75,Kho báu chỉ dành riêng cho những huyền thoại (100% nhận được vật phẩm cam cùng Hệ).
76,Nguyên liệu để tạo ra Lồng Đèn
77,Dùng để đổi đồ thời trang có thời hạn ở NPC
78,Vé tăng kinh nghiệm nhận vàonnx3 cho level 1 - 30nnx2.5 cho Level 31 - 60nnx2 cho level từ 61 trở lên nnÁp dụng cho nhiệm vụ lặp và đánh quáinnTác dụng trong 2 giờ online.
79,Dùng để cường hóa rương ác quỷ hoặc nâng cấp Kỹ nâng.
