id,name,icon,beri,ruby
1,Tóc tảo biển,24,5000,0
2,Tóc bồi bàn,28,5000,0
3,Tóc đỏ son môi,32,5000,0
4,Tóc xoăn,36,5000,0
5,Tóc lù xù,1,5000,0
6,Tóc chẻ bụi đời,41,0,10
7,Tóc võ sĩ đạo,45,0,10
8,Tóc bạch kim,49,0,10
9,Tóc ngắn xinh xắn,53,0,10
10,Tóc quý tộc,57,0,10
11,Tóc lỳ lợm,185,50000,0
12,Tóc hiệp khách,189,50000,0
13,Tóc đường phố,193,50000,0
14,Tóc cam nhẹ nhàng,197,50000,0
15,Tóc thổ dân,201,50000,0
16,Tóc nhà vô địch,205,0,100
17,Tóc thủy thần,209,0,50
18,Tóc lãng tử,213,0,50
19,Tóc tiên cá,217,0,50
20,Tóc ngựa,221,0,100
21,Tóc Vivi,484,0,100
22,Tóc Tím,485,0,100
23,Tóc Vàng,486,0,100
24,Đầu trọc,-1,0,100
25,Tóc băng,626,0,150
26,Tóc lửa,627,0,150
27,Tóc Pháp Sư,628,0,150
28,Tóc đấu sĩ,629,0,150
32,Tóc sét,632,0,150
33,Tóc thép,634,0,150
34,Tóc nước,633,0,150
35,Tóc tuyết,635,0,150
36,Tóc khỉ con,714,0,500
37,Tóc lưỡi liềm,715,0,250
38,Tóc ShowBiz,716,0,500
39,Tóc Công Chúa,717,0,500
41,Tóc ấn tượng,771,0,250
42,Tóc Lego,775,0,250
43,Tóc mốc lai,776,0,250
44,Tóc Kool,777,0,500
45,Tóc Siêu Sao,772,0,2000
48,Tóc râu đen,881,0,500
49,Tóc RS Ichiji,1008,0,300
50,Tóc RS Niji,1012,0,300
51,Tóc RS Yonji,1016,0,300
52,Tóc RS Sanji,1019,0,300
53,Tóc RS Reiju,1026,0,300
54,Tóc RD Judge,1023,0,300
