id,data
0,"[{""price"":400,""id"":0,""type"":0},{""price"":1500,""id"":1,""type"":0},{""price"":400,""id"":4,""type"":0},{""price"":1500,""id"":5,""type"":0},{""price"":350,""id"":40,""type"":0},{""price"":1200,""id"":41,""type"":0},{""price"":350,""id"":44,""type"":0},{""price"":1200,""id"":45,""type"":0},{""price"":300,""id"":80,""type"":0},{""price"":1000,""id"":81,""type"":0},{""price"":300,""id"":84,""type"":0},{""price"":1000,""id"":85,""type"":0},{""price"":600,""id"":192,""type"":0},{""price"":1700,""id"":193,""type"":0},{""price"":600,""id"":196,""type"":0},{""price"":1700,""id"":197,""type"":0},{""price"":500,""id"":232,""type"":0},{""price"":1400,""id"":233,""type"":0},{""price"":500,""id"":236,""type"":0},{""price"":1400,""id"":237,""type"":0},{""price"":400,""id"":272,""type"":0},{""price"":1200,""id"":273,""type"":0},{""price"":400,""id"":276,""type"":0},{""price"":1200,""id"":277,""type"":0}]"
1,"[{""price"":400,""id"":8,""type"":0},{""price"":1500,""id"":9,""type"":0},{""price"":400,""id"":12,""type"":0},{""price"":1500,""id"":13,""type"":0},{""price"":350,""id"":48,""type"":0},{""price"":1200,""id"":49,""type"":0},{""price"":350,""id"":52,""type"":0},{""price"":1200,""id"":53,""type"":0},{""price"":300,""id"":88,""type"":0},{""price"":1000,""id"":89,""type"":0},{""price"":300,""id"":92,""type"":0},{""price"":1000,""id"":93,""type"":0},{""price"":600,""id"":200,""type"":0},{""price"":1700,""id"":201,""type"":0},{""price"":600,""id"":204,""type"":0},{""price"":1700,""id"":205,""type"":0},{""price"":500,""id"":240,""type"":0},{""price"":1400,""id"":241,""type"":0},{""price"":500,""id"":244,""type"":0},{""price"":1400,""id"":245,""type"":0},{""price"":400,""id"":280,""type"":0},{""price"":1200,""id"":281,""type"":0},{""price"":400,""id"":284,""type"":0},{""price"":1200,""id"":285,""type"":0}]"
2,"[{""price"":400,""id"":16,""type"":0},{""price"":1500,""id"":17,""type"":0},{""price"":400,""id"":20,""type"":0},{""price"":1500,""id"":21,""type"":0},{""price"":350,""id"":56,""type"":0},{""price"":1200,""id"":57,""type"":0},{""price"":350,""id"":60,""type"":0},{""price"":1200,""id"":61,""type"":0},{""price"":300,""id"":96,""type"":0},{""price"":1000,""id"":97,""type"":0},{""price"":300,""id"":100,""type"":0},{""price"":1000,""id"":101,""type"":0},{""price"":600,""id"":208,""type"":0},{""price"":1700,""id"":209,""type"":0},{""price"":600,""id"":212,""type"":0},{""price"":1700,""id"":213,""type"":0},{""price"":500,""id"":248,""type"":0},{""price"":1400,""id"":249,""type"":0},{""price"":500,""id"":252,""type"":0},{""price"":1400,""id"":253,""type"":0},{""price"":400,""id"":288,""type"":0},{""price"":1200,""id"":289,""type"":0},{""price"":400,""id"":292,""type"":0},{""price"":1200,""id"":293,""type"":0}]"
3,"[{""price"":400,""id"":24,""type"":0},{""price"":1500,""id"":25,""type"":0},{""price"":400,""id"":28,""type"":0},{""price"":1500,""id"":29,""type"":0},{""price"":350,""id"":64,""type"":0},{""price"":1200,""id"":65,""type"":0},{""price"":350,""id"":68,""type"":0},{""price"":1200,""id"":69,""type"":0},{""price"":300,""id"":104,""type"":0},{""price"":1000,""id"":105,""type"":0},{""price"":300,""id"":108,""type"":0},{""price"":1000,""id"":109,""type"":0},{""price"":600,""id"":216,""type"":0},{""price"":1700,""id"":217,""type"":0},{""price"":600,""id"":220,""type"":0},{""price"":1700,""id"":221,""type"":0},{""price"":500,""id"":256,""type"":0},{""price"":1400,""id"":257,""type"":0},{""price"":500,""id"":260,""type"":0},{""price"":1400,""id"":261,""type"":0},{""price"":400,""id"":296,""type"":0},{""price"":1200,""id"":297,""type"":0},{""price"":400,""id"":300,""type"":0},{""price"":1200,""id"":301,""type"":0}]"
4,"[{""price"":400,""id"":32,""type"":0},{""price"":1500,""id"":33,""type"":0},{""price"":400,""id"":36,""type"":0},{""price"":1500,""id"":37,""type"":0},{""price"":350,""id"":72,""type"":0},{""price"":1200,""id"":73,""type"":0},{""price"":350,""id"":76,""type"":0},{""price"":1200,""id"":77,""type"":0},{""price"":300,""id"":112,""type"":0},{""price"":1000,""id"":113,""type"":0},{""price"":300,""id"":116,""type"":0},{""price"":1000,""id"":117,""type"":0},{""price"":600,""id"":224,""type"":0},{""price"":1700,""id"":225,""type"":0},{""price"":600,""id"":228,""type"":0},{""price"":1700,""id"":229,""type"":0},{""price"":500,""id"":264,""type"":0},{""price"":1400,""id"":265,""type"":0},{""price"":500,""id"":268,""type"":0},{""price"":1400,""id"":269,""type"":0},{""price"":400,""id"":304,""type"":0},{""price"":1200,""id"":305,""type"":0},{""price"":400,""id"":308,""type"":0},{""price"":1200,""id"":309,""type"":0}]"
5,"[{""price"":800,""id"":576,""type"":0},{""price"":2300,""id"":577,""type"":0},{""price"":800,""id"":580,""type"":0},{""price"":2300,""id"":581,""type"":0},{""price"":700,""id"":616,""type"":0},{""price"":2000,""id"":617,""type"":0},{""price"":700,""id"":620,""type"":0},{""price"":2000,""id"":621,""type"":0},{""price"":600,""id"":656,""type"":0},{""price"":1800,""id"":657,""type"":0},{""price"":600,""id"":660,""type"":0},{""price"":1800,""id"":661,""type"":0},{""price"":900,""id"":768,""type"":0},{""price"":2600,""id"":769,""type"":0},{""price"":900,""id"":772,""type"":0},{""price"":2600,""id"":773,""type"":0},{""price"":800,""id"":808,""type"":0},{""price"":2300,""id"":809,""type"":0},{""price"":800,""id"":812,""type"":0},{""price"":2300,""id"":813,""type"":0},{""price"":700,""id"":848,""type"":0},{""price"":2100,""id"":849,""type"":0},{""price"":700,""id"":852,""type"":0},{""price"":2100,""id"":853,""type"":0},{""price"":1100,""id"":960,""type"":0},{""price"":2900,""id"":961,""type"":0},{""price"":1100,""id"":964,""type"":0},{""price"":2900,""id"":965,""type"":0},{""price"":1000,""id"":1000,""type"":0},{""price"":2600,""id"":1001,""type"":0},{""price"":1000,""id"":1004,""type"":0},{""price"":2600,""id"":1005,""type"":0},{""price"":900,""id"":1040,""type"":0},{""price"":2400,""id"":1041,""type"":0},{""price"":900,""id"":1044,""type"":0},{""price"":2400,""id"":1045,""type"":0}]"
6,"[{""price"":800,""id"":584,""type"":0},{""price"":2300,""id"":585,""type"":0},{""price"":800,""id"":588,""type"":0},{""price"":2300,""id"":589,""type"":0},{""price"":700,""id"":624,""type"":0},{""price"":2000,""id"":625,""type"":0},{""price"":700,""id"":628,""type"":0},{""price"":2000,""id"":629,""type"":0},{""price"":600,""id"":664,""type"":0},{""price"":1800,""id"":665,""type"":0},{""price"":600,""id"":668,""type"":0},{""price"":1800,""id"":669,""type"":0},{""price"":900,""id"":776,""type"":0},{""price"":2600,""id"":777,""type"":0},{""price"":900,""id"":780,""type"":0},{""price"":2600,""id"":781,""type"":0},{""price"":800,""id"":816,""type"":0},{""price"":2300,""id"":817,""type"":0},{""price"":800,""id"":820,""type"":0},{""price"":2300,""id"":821,""type"":0},{""price"":700,""id"":856,""type"":0},{""price"":2100,""id"":857,""type"":0},{""price"":700,""id"":860,""type"":0},{""price"":2100,""id"":861,""type"":0},{""price"":1100,""id"":968,""type"":0},{""price"":2900,""id"":969,""type"":0},{""price"":1100,""id"":972,""type"":0},{""price"":2900,""id"":973,""type"":0},{""price"":1000,""id"":1008,""type"":0},{""price"":2600,""id"":1009,""type"":0},{""price"":1000,""id"":1012,""type"":0},{""price"":2600,""id"":1013,""type"":0},{""price"":900,""id"":1048,""type"":0},{""price"":2400,""id"":1049,""type"":0},{""price"":900,""id"":1052,""type"":0},{""price"":2400,""id"":1053,""type"":0}]"
7,"[{""price"":800,""id"":592,""type"":0},{""price"":2300,""id"":593,""type"":0},{""price"":800,""id"":596,""type"":0},{""price"":2300,""id"":597,""type"":0},{""price"":700,""id"":632,""type"":0},{""price"":2000,""id"":633,""type"":0},{""price"":700,""id"":636,""type"":0},{""price"":2000,""id"":637,""type"":0},{""price"":600,""id"":672,""type"":0},{""price"":1800,""id"":673,""type"":0},{""price"":600,""id"":676,""type"":0},{""price"":1800,""id"":677,""type"":0},{""price"":900,""id"":784,""type"":0},{""price"":2600,""id"":785,""type"":0},{""price"":900,""id"":788,""type"":0},{""price"":2600,""id"":789,""type"":0},{""price"":800,""id"":824,""type"":0},{""price"":2300,""id"":825,""type"":0},{""price"":800,""id"":828,""type"":0},{""price"":2300,""id"":829,""type"":0},{""price"":700,""id"":864,""type"":0},{""price"":2100,""id"":865,""type"":0},{""price"":700,""id"":868,""type"":0},{""price"":2100,""id"":869,""type"":0},{""price"":1100,""id"":976,""type"":0},{""price"":2900,""id"":977,""type"":0},{""price"":1100,""id"":980,""type"":0},{""price"":2900,""id"":981,""type"":0},{""price"":1000,""id"":1016,""type"":0},{""price"":2600,""id"":1017,""type"":0},{""price"":1000,""id"":1020,""type"":0},{""price"":2600,""id"":1021,""type"":0},{""price"":900,""id"":1056,""type"":0},{""price"":2400,""id"":1057,""type"":0},{""price"":900,""id"":1060,""type"":0},{""price"":2400,""id"":1061,""type"":0}]"
8,"[{""price"":800,""id"":600,""type"":0},{""price"":2300,""id"":601,""type"":0},{""price"":800,""id"":604,""type"":0},{""price"":2300,""id"":605,""type"":0},{""price"":700,""id"":640,""type"":0},{""price"":2000,""id"":641,""type"":0},{""price"":700,""id"":644,""type"":0},{""price"":2000,""id"":645,""type"":0},{""price"":600,""id"":680,""type"":0},{""price"":1800,""id"":681,""type"":0},{""price"":600,""id"":684,""type"":0},{""price"":1800,""id"":685,""type"":0},{""price"":900,""id"":792,""type"":0},{""price"":2600,""id"":793,""type"":0},{""price"":900,""id"":796,""type"":0},{""price"":2600,""id"":797,""type"":0},{""price"":800,""id"":832,""type"":0},{""price"":2300,""id"":833,""type"":0},{""price"":800,""id"":836,""type"":0},{""price"":2300,""id"":837,""type"":0},{""price"":700,""id"":872,""type"":0},{""price"":2100,""id"":873,""type"":0},{""price"":700,""id"":876,""type"":0},{""price"":2100,""id"":877,""type"":0},{""price"":1100,""id"":984,""type"":0},{""price"":2900,""id"":985,""type"":0},{""price"":1100,""id"":988,""type"":0},{""price"":2900,""id"":989,""type"":0},{""price"":1000,""id"":1024,""type"":0},{""price"":2600,""id"":1025,""type"":0},{""price"":1000,""id"":1028,""type"":0},{""price"":2600,""id"":1029,""type"":0},{""price"":900,""id"":1064,""type"":0},{""price"":2400,""id"":1065,""type"":0},{""price"":900,""id"":1068,""type"":0},{""price"":2400,""id"":1069,""type"":0}]"
9,"[{""price"":800,""id"":608,""type"":0},{""price"":2300,""id"":609,""type"":0},{""price"":800,""id"":612,""type"":0},{""price"":2300,""id"":613,""type"":0},{""price"":700,""id"":648,""type"":0},{""price"":2000,""id"":649,""type"":0},{""price"":700,""id"":652,""type"":0},{""price"":2000,""id"":653,""type"":0},{""price"":600,""id"":688,""type"":0},{""price"":1800,""id"":689,""type"":0},{""price"":600,""id"":692,""type"":0},{""price"":1800,""id"":693,""type"":0},{""price"":900,""id"":800,""type"":0},{""price"":2600,""id"":801,""type"":0},{""price"":900,""id"":804,""type"":0},{""price"":2600,""id"":805,""type"":0},{""price"":800,""id"":840,""type"":0},{""price"":2300,""id"":841,""type"":0},{""price"":800,""id"":844,""type"":0},{""price"":2300,""id"":845,""type"":0},{""price"":700,""id"":880,""type"":0},{""price"":2100,""id"":881,""type"":0},{""price"":700,""id"":884,""type"":0},{""price"":2100,""id"":885,""type"":0},{""price"":1100,""id"":992,""type"":0},{""price"":2900,""id"":993,""type"":0},{""price"":1100,""id"":996,""type"":0},{""price"":2900,""id"":997,""type"":0},{""price"":1000,""id"":1032,""type"":0},{""price"":2600,""id"":1033,""type"":0},{""price"":1000,""id"":1036,""type"":0},{""price"":2600,""id"":1037,""type"":0},{""price"":900,""id"":1072,""type"":0},{""price"":2400,""id"":1073,""type"":0},{""price"":900,""id"":1076,""type"":0},{""price"":2400,""id"":1077,""type"":0}]"
