id,type,data
0,0,"[[0,0,0],[1,0,0],[2,0,0],[3,0,0],[4,0,0]]"
1,5,"[[5,0,0],[6,0,0]]"
2,4,"[[7,0,0],[8,0,0]]"
3,1,"[[9,0,0],[10,0,0],[11,0,0],[12,0,0],[13,0,0],[14,0,0],[15,0,0],[16,0,0],[17,0,0],[18,0,0],[19,0,0],[20,0,0],[21,0,0],[22,0,0],[23,0,0],[24,0,0],[25,0,0],[26,0,0],[27,0,0],[28,0,0]]"
4,2,"[[29,0,0],[30,0,0],[31,0,0],[32,0,0],[33,0,0],[34,0,0],[35,0,0],[36,0,0],[37,0,0],[38,0,0],[39,0,0],[40,0,0],[41,0,0],[42,0,0],[43,0,0]]"
5,3,"[[44,10,18],[45,15,21],[45,10,22],[45,11,22],[45,11,21],[45,13,23],[45,18,28],[45,18,23],[45,17,23],[46,22,11],[47,6,14],[47,0,0],[48,13,6],[49,8,1],[50,0,0],[47,0,0],[45,7,19],[45,7,19],[45,21,23],[45,12,28],[45,24,24],[45,16,29],[45,22,12],[45,17,20]]"
6,3,"[[51,0,0],[52,20,0],[52,16,0],[53,20,0],[53,20,0],[52,19,0],[54,26,0],[52,27,0],[52,27,0],[55,0,5],[79,0,0],[79,0,0],[56,0,3],[57,0,2],[58,5,9],[79,0,0],[59,0,0],[59,0,0],[61,5,0],[60,0,0],[61,5,0],[60,0,0],[62,3,0],[63,3,0]]"
7,3,"[[64,3,21],[65,0,9],[65,0,11],[66,0,1],[66,0,1],[67,0,4],[68,0,9],[68,0,3],[68,0,3],[65,5,0],[69,0,0],[79,0,0],[70,19,0],[71,6,0],[72,12,16],[79,0,0],[73,6,12],[73,6,11],[73,0,11],[74,1,5],[75,0,4],[76,3,5],[77,0,1],[78,0,1]]"
8,0,"[[115,0,0],[116,0,0],[117,0,0],[118,0,0],[119,0,-1]]"
9,1,"[[80,0,0],[81,0,0],[82,0,0],[83,0,0],[84,0,0],[85,0,0],[86,0,0],[87,0,0],[88,0,0],[89,0,0],[90,0,0],[91,0,0],[92,0,0],[93,0,0],[94,0,0],[95,0,0],[96,0,0],[97,0,0],[98,0,0],[99,0,0]]"
10,2,"[[100,0,0],[101,0,0],[102,0,0],[103,0,0],[104,0,0],[105,0,0],[106,0,0],[107,0,0],[108,0,0],[109,0,0],[110,0,0],[111,0,0],[112,0,0],[113,0,0],[114,0,0]]"
