id,id_index,id_2,icon,typeSkill,typeBuff,name,typeEffSkill,range,rangeLan,nTarget,damage,manaLost,timeDelay,nKick,info,Lv_RQ,percentLv,typeDevil,option,EffSpec,LvDevilSkill,phanTramDevilSkill
1,0,0,0,1,0,Quả đấm tốc độ,21,50,50,1,25,0,1000,1,Kỹ năng tấn công cơ bản của các võ sĩ.,1,0,0,[],"[0,-1,-1]",0,0
2,1,0,0,1,0,Quả đấm tốc độ,21,50,50,1,28,0,1000,1,Kỹ năng tấn công cơ bản của các võ sĩ.,2,0,0,[],"[0,-1,-1]",0,0
3,2,0,0,1,0,Quả đấm tốc độ,21,50,50,1,31,0,1000,1,Kỹ năng tấn công cơ bản của các võ sĩ.,3,0,0,[],"[0,-1,-1]",0,0
4,3,0,0,1,0,Quả đấm tốc độ,21,50,50,1,36,0,1000,1,Kỹ năng tấn công cơ bản của các võ sĩ.,4,0,0,[],"[0,-1,-1]",0,0
5,4,0,0,1,0,Quả đấm tốc độ,33,50,50,1,42,0,1000,2,Kỹ năng tấn công cơ bản của các võ sĩ.,5,0,0,[],"[0,-1,-1]",0,0
6,5,0,0,1,0,Quả đấm tốc độ,33,50,50,1,49,0,1000,2,Kỹ năng tấn công cơ bản của các võ sĩ.,6,0,0,[],"[0,-1,-1]",0,0
7,6,0,0,1,0,Quả đấm tốc độ,33,50,50,1,58,0,1000,2,Kỹ năng tấn công cơ bản của các võ sĩ.,7,0,0,[],"[0,-1,-1]",0,0
8,7,0,0,1,0,Quả đấm tốc độ,33,50,50,1,68,0,1000,2,Kỹ năng tấn công cơ bản của các võ sĩ.,8,0,0,[],"[0,-1,-1]",0,0
9,8,0,0,1,0,Quả đấm tốc độ,33,50,50,1,80,0,1000,2,Kỹ năng tấn công cơ bản của các võ sĩ.,9,0,0,[],"[0,-1,-1]",0,0
10,9,0,0,1,0,Quả đấm tốc độ,83,50,50,1,93,0,1000,3,Kỹ năng tấn công cơ bản của các võ sĩ.,10,0,0,"[[28,5],[29,50],[30,20]]","[5,50,20]",0,0
11,10,0,0,1,0,Quả đấm tốc độ,83,50,50,1,107,0,1000,3,Kỹ năng tấn công cơ bản của các võ sĩ.,11,0,0,"[[28,5],[29,50],[30,22]]","[5,50,22]",0,0
12,11,0,0,1,0,Quả đấm tốc độ,83,50,50,1,122,0,1000,3,Kỹ năng tấn công cơ bản của các võ sĩ.,12,0,0,"[[28,5],[29,60],[30,24]]","[5,60,24]",0,0
13,12,0,0,1,0,Quả đấm tốc độ,83,50,50,1,139,0,1000,3,Kỹ năng tấn công cơ bản của các võ sĩ.,13,0,0,"[[28,5],[29,60],[30,26]]","[5,60,26]",0,0
14,13,0,0,1,0,Quả đấm tốc độ,83,50,50,1,157,0,1000,3,Kỹ năng tấn công cơ bản của các võ sĩ.,14,0,0,"[[28,5],[29,70],[30,28]]","[5,70,28]",0,0
15,14,0,0,1,0,Quả đấm tốc độ,180,50,50,1,177,0,1000,4,Kỹ năng tấn công cơ bản của các võ sĩ.,15,0,0,"[[28,5],[29,70],[30,30]]","[5,70,30]",0,0
16,15,0,0,1,0,Quả đấm tốc độ,180,50,50,1,198,0,1000,4,Kỹ năng tấn công cơ bản của các võ sĩ.,16,0,0,"[[28,5],[29,80],[30,32]]","[5,80,32]",0,0
17,16,0,0,1,0,Quả đấm tốc độ,180,50,50,1,220,0,1000,4,Kỹ năng tấn công cơ bản của các võ sĩ.,17,0,0,"[[28,5],[29,80],[30,34]]","[5,80,34]",0,0
18,17,0,0,1,0,Quả đấm tốc độ,180,50,50,1,244,0,1000,4,Kỹ năng tấn công cơ bản của các võ sĩ.,18,0,0,"[[28,5],[29,90],[30,36]]","[5,90,36]",0,0
19,18,0,0,1,0,Quả đấm tốc độ,180,50,50,1,269,0,1000,4,Kỹ năng tấn công cơ bản của các võ sĩ.,19,0,0,"[[28,5],[29,90],[30,38]]","[5,90,38]",0,0
20,19,0,0,1,0,Quả đấm tốc độ,212,50,50,1,295,0,1000,5,Kỹ năng tấn công cơ bản của các võ sĩ.,20,0,0,"[[28,5],[29,100],[30,40]]","[5,100,40]",0,0
21,20,1,1,1,0,Bazooka,34,120,120,1,80,2,4000,1,Tung một cú đấm nhanh như viên đạn súng lục.,1,0,0,"[[28,5],[29,60],[30,20]]","[5,60,20]",0,0
22,21,1,1,1,0,Bazooka,34,120,120,1,89,2,3900,1,Tung một cú đấm nhanh như viên đạn súng lục.,2,0,0,"[[28,5],[29,70],[30,21]]","[5,70,21]",0,0
23,22,1,1,1,0,Bazooka,34,120,120,1,99,2,3800,1,Tung một cú đấm nhanh như viên đạn súng lục.,3,0,0,"[[28,5],[29,80],[30,22]]","[5,80,22]",0,0
24,23,1,1,1,0,Bazooka,34,120,120,1,115,2,3700,1,Tung một cú đấm nhanh như viên đạn súng lục.,4,0,0,"[[28,5],[29,90],[30,23]]","[5,90,23]",0,0
25,24,1,1,1,0,Bazooka,35,120,120,1,134,3,3600,1,Tung một cú đấm nhanh như viên đạn súng lục.,5,0,0,"[[10,50],[11,50],[28,5],[29,100],[30,24]]","[5,100,24]",0,0
26,25,1,1,1,0,Bazooka,35,120,120,1,158,3,3500,1,Tung một cú đấm nhanh như viên đạn súng lục.,6,0,0,"[[10,50],[11,60],[28,5],[29,110],[30,25]]","[5,110,25]",0,0
27,26,1,1,1,0,Bazooka,35,120,120,1,186,3,3400,1,Tung một cú đấm nhanh như viên đạn súng lục.,7,0,0,"[[10,50],[11,70],[28,5],[29,120],[30,26]]","[5,120,26]",0,0
28,27,1,1,1,0,Bazooka,35,120,120,1,218,3,3300,1,Tung một cú đấm nhanh như viên đạn súng lục.,8,0,0,"[[10,50],[11,80],[28,5],[29,130],[30,27]]","[5,130,27]",0,0
29,28,1,1,1,0,Bazooka,35,120,120,1,255,3,3200,1,Tung một cú đấm nhanh như viên đạn súng lục.,9,0,0,"[[10,50],[11,90],[28,5],[29,140],[30,28]]","[5,140,28]",0,0
30,29,1,1,1,0,Bazooka,84,120,120,1,296,5,3100,1,Tung một cú đấm nhanh như viên đạn súng lục.,10,0,0,"[[10,60],[11,100],[28,5],[29,150],[30,29]]","[5,150,29]",0,0
31,30,1,1,1,0,Bazooka,84,120,120,1,342,5,3000,1,Tung một cú đấm nhanh như viên đạn súng lục.,11,0,0,"[[10,60],[11,110],[28,5],[29,160],[30,30]]","[5,160,30]",0,0
32,31,1,1,1,0,Bazooka,84,120,120,1,391,5,2900,1,Tung một cú đấm nhanh như viên đạn súng lục.,12,0,0,"[[10,60],[11,120],[28,5],[29,170],[30,31]]","[5,170,31]",0,0
